SYS_FIELD_NAME,FIELD_DESC
YEAR,Year
MONTH,Month
OP_UNIQUE_CARRIER,"Unique Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years."
ORIGIN,Origin Airport
ORIGIN_CITY_NAME,"Origin Airport, City Name"
DEST,Destination Airport
DEST_CITY_NAME,"Destination Airport, City Name"
DEP_DELAY_NEW,Difference in minutes between scheduled and actual departure time. Early departures set to 0.
DEP_DEL15,"Departure Delay Indicator, 15 Minutes or More (1=Yes)"
CANCELLED,Cancelled Flight Indicator (1=Yes)
CANCELLATION_CODE,Specifies The Reason For Cancellation
DIVERTED,Diverted Flight Indicator (1=Yes)
CARRIER_DELAY,"Carrier Delay, in Minutes"
WEATHER_DELAY,"Weather Delay, in Minutes"
NAS_DELAY,"National Air System Delay, in Minutes"
SECURITY_DELAY,"Security Delay, in Minutes"
LATE_AIRCRAFT_DELAY,"Late Aircraft Delay, in Minutes"
